,location,url,lat,lng,text
225,Uitgeest,/locatie/utg001,52.52228,4.70232,4 fietsen beschikbaar
226,Utrecht Centraal Jaarbeursplein,/locatie/ut016,52.08895,5.10756,114 fietsen beschikbaar
227,Utrecht Centraal Knoop,/locatie/ut021,52.087374,5.109469,65 fietsen beschikbaar
228,Utrecht Centraal Stationsplein,/locatie/ut020,52.089548,5.109781,291 fietsen beschikbaar
229,Utrecht Janskerkhof,/locatie/ut018,52.093019,5.121088,3 fietsen beschikbaar
230,Utrecht Leidsche Rijn,/locatie/utlr001,52.09918,5.06476,Geen actuele beschikbaarheid.
231,Utrecht Lunetten,/locatie/utl001,52.06564,5.14323,Geen actuele beschikbaarheid.
232,Utrecht Mariaplaats,/locatie/ut014,52.08987,5.11841,16 fietsen beschikbaar
233,Utrecht Overvecht,/locatie/uto001,52.109965,5.123593,3 fietsen beschikbaar
234,Utrecht P+R Papendorp,/locatie/ut904,52.06917,5.08139,3 fietsen beschikbaar
235,Utrecht P+R Science Park (De Uithof) ZS,/locatie/ut908,52.08481,5.17314,2 fietsen beschikbaar
236,Utrecht P+R Westraven,/locatie/ut007,52.05745,5.10406,10 fietsen beschikbaar
237,Utrecht Rijnsweerd,/locatie/ut903,52.092506,5.152792,4 fietsen beschikbaar
238,Utrecht Stadhuis,/locatie/ut003,52.09224,5.11957,9 fietsen beschikbaar
239,Utrecht Terwijde,/locatie/utt001,52.10017,5.04424,Geen actuele beschikbaarheid.
240,Utrecht Vaartsche Rijn Oosterkade,/locatie/ut019,52.078023,5.122392,62 fietsen beschikbaar
241,Utrecht Vredenburg,/locatie/ut006,52.09261,5.11462,3 fietsen beschikbaar
242,Utrecht Zuilen,/locatie/utzl001,52.10341,5.08945,2 fietsen beschikbaar
243,Valkenburg,/locatie/vk001,50.86873,5.833601,5 fietsen beschikbaar
244,Varsseveld,/locatie/vsv001,51.93728,6.45807,4 fietsen beschikbaar
245,Veendam,/locatie/Vdm001,53.104299,6.884732,1 fietsen beschikbaar
246,Veenendaal,/locatie/vndc002,52.020273,5.548828,Geen actuele beschikbaarheid.
247,Veenendaal West,/locatie/vndw001,52.028551,5.533195,6 fietsen beschikbaar
248,Veenendaal-De klomp,/locatie/klp001,52.045557,5.573761,9 fietsen beschikbaar
249,Veghel,/locatie/Btl003,51.614573,5.545731,4 fietsen beschikbaar
250,Velp,/locatie/vp001,51.99526,5.98094,2 fietsen beschikbaar
251,Venlo,/locatie/vl001,51.365024,6.171608,26 fietsen beschikbaar
252,Venray,/locatie/vry001,51.52736,6.01351,20 fietsen beschikbaar
253,Vianen OV-fiets Carrousel,/locatie/ut905,51.9891,5.08497,21 fietsen beschikbaar
254,Vierlingsbeek,/locatie/vlb001,51.592001,5.997284,4 fietsen beschikbaar
255,Vleuten,/locatie/vtn001,52.102785,5.008076,2 fietsen beschikbaar
256,Vlissingen,/locatie/vs001,51.44385,3.59536,9 fietsen beschikbaar
257,Voorburg,/locatie/vb001,52.06676,4.35956,26 fietsen beschikbaar
